iter	Passed	Remaining
247	5040	15284
248	5062	15269
249	5083	15251
250	5105	15234
251	5126	15216
252	5148	15201
253	5173	15194
254	5196	15183
255	5218	15166
256	5241	15152
257	5269	15155
258	5297	15156
259	5322	15149
260	5347	15140
261	5373	15137
262	5397	15125
263	5420	15110
264	5444	15102
265	5468	15089
266	5490	15072
267	5511	15054
268	5532	15034
269	5553	15013
270	5576	15000
271	5600	14990
272	5620	14968
273	5643	14952
274	5664	14934
275	5686	14916
276	5701	14882
277	5723	14863
278	5745	14847
279	5766	14827
280	5790	14817
281	5814	14803
282	5835	14785
283	5856	14764
284	5877	14745
285	5899	14727
286	5920	14709
287	5942	14690
288	5964	14674
289	5989	14663
290	6013	14652
291	6035	14633
292	6057	14617
293	6078	14596
294	6099	14576
295	6120	14556
296	6140	14534
297	6160	14512
298	6182	14493
299	6203	14474
300	6229	14465
301	6253	14453
302	6274	14432
303	6295	14414
304	6317	14395
305	6338	14376
306	6359	14355
307	6380	14336
308	6403	14320
309	6427	14306
310	6449	14287
311	6470	14267
312	6491	14247
313	6511	14225
314	6530	14201
315	6551	14180
316	6572	14160
317	6592	14139
318	6618	14130
319	6640	14111
320	6663	14094
321	6683	14073
322	6705	14054
323	6726	14035
324	6749	14018
325	6770	13998
326	6792	13979
327	6812	13957
328	6836	13942
329	6859	13926
330	6880	13906
331	6901	13887
332	6922	13865
333	6942	13843
334	6964	13826
335	6986	13806
336	7007	13786
337	7028	13766
338	7054	13754
339	7075	13734
340	7097	13715
341	7119	13697
342	7139	13674
343	7159	13652
344	7179	13631
345	7201	13611
346	7226	13598
347	7247	13578
348	7270	13562
349	7293	13544
350	7314	13524
351	7335	13504
352	7356	13483
353	7377	13462
354	7400	13445
355	7422	13426
356	7443	13407
357	7465	13388
358	7489	13373
359	7513	13356
360	7533	13334
361	7554	13314
362	7574	13291
363	7595	13271
364	7617	13251
365	7639	13232
366	7660	13213
367	7680	13189
368	7703	13173
369	7726	13156
370	7747	13135
371	7769	13116
372	7789	13094
373	7811	13074
374	7832	13053
375	7853	13033
376	7875	13013
377	7896	12993
378	7920	12977
379	7943	12959
380	7964	12940
381	7984	12917
382	8006	12898
383	8027	12877
384	8048	12856
385	8070	12838
386	8091	12817
387	8111	12794
388	8134	12776
389	8157	12758
390	8179	12739
391	8202	12722
392	8224	12702
393	8245	12682
394	8269	12665
395	8289	12644
396	8310	12622
397	8335	12608
398	8360	12592
399	8381	12571
400	8403	12552
401	8423	12530
402	8444	12509
403	8467	12492
404	8489	12472
405	8511	12452
406	8535	12436
407	8558	12417
408	8579	12396
409	8600	12376
410	8621	12355
411	8641	12333
412	8663	12313
413	8684	12292
414	8706	12273
415	8729	12254
416	8753	12238
417	8774	12217
418	8796	12197
419	8817	12176
420	8837	12154
421	8857	12132
422	8878	12111
423	8898	12088
424	8921	12070
425	8943	12050
426	8968	12035
427	8990	12014
428	9012	11995
429	9034	11976
430	9057	11958
431	9079	11937
432	9100	11916
433	9121	11895
434	9142	11875
435	9164	11855
436	9192	11843
437	9214	11823
438	9235	11802
439	9256	11781
440	9277	11760
441	9299	11739
442	9321	11719
443	9342	11699
444	9363	11678
445	9386	11658
446	9410	11642
447	9432	11622
448	9454	11601
449	9475	11581
450	9497	11561
451	9518	11540
452	9539	11519
453	9560	11498
454	9582	11478
455	9604	11457
456	9629	11441
457	9650	11420
458	9670	11398
459	9692	11378
460	9723	11368
461	9749	11353
462	9774	11336
463	9802	11323
464	9825	11304
465	9854	11292
466	9879	11275
467	9903	11257
468	9928	11241
469	9953	11223
470	9976	11204
471	10002	11189
472	10027	11172
473	10049	11152
474	10078	11139
475	10101	11120
476	10124	11101
477	10150	11084
478	10177	11069
479	10201	11051
480	10224	11032
481	10250	11016
482	10274	10997
483	10299	10980
484	10321	10959
485	10341	10937
486	10364	10917
487	10386	10897
488	10407	10875
489	10429	10854
490	10451	10834
491	10473	10814
492	10494	10792
493	10521	10776
494	10541	10754
495	10563	10733
496	10584	10712
497	10605	10690
498	10625	10667
499	10646	10646
500	10667	10625
501	10688	10603
502	10709	10582
503	10734	10563
504	10756	10543
505	10779	10524
506	10800	10502
507	10822	10481
508	10844	10461
509	10866	10440
510	10888	10419
511	10909	10398
512	10934	10379
513	10957	10360
514	10980	10341
515	11002	10319
516	11023	10298
517	11044	10277
518	11064	10254
519	11084	10232
520	11106	10210
521	11129	10191
522	11155	10173
523	11175	10152
524	11196	10130
525	11215	10107
526	11238	10086
527	11258	10064
528	11279	10042
529	11300	10021
530	11321	9999
531	11344	9979
532	11369	9961
533	11391	9941
534	11412	9918
535	11430	9895
536	11452	9874
537	11473	9852
538	11494	9831
539	11514	9809
540	11535	9787
541	11556	9765
542	11580	9746
543	11602	9725
544	11624	9704
545	11646	9683
546	11668	9662
547	11689	9642
548	11712	9621
549	11734	9600
550	11754	9578
551	11775	9556
552	11799	9537
553	11820	9516
554	11842	9495
555	11863	9474
556	11885	9452
557	11906	9430
558	11927	9409
559	11948	9387
560	11968	9365
561	11990	9344
562	12013	9325
563	12035	9303
564	12056	9282
565	12078	9261
566	12099	9240
567	12125	9222
568	12147	9201
569	12168	9179
570	12189	9157
571	12210	9136
572	12236	9118
573	12257	9096
574	12278	9075
575	12299	9053
576	12321	9033
577	12342	9011
578	12362	8989
579	12381	8966
580	12403	8944
581	12424	8923
582	12446	8902
583	12470	8882
584	12491	8861
585	12511	8839
586	12532	8817
587	12552	8795
588	12572	8773
589	12593	8751
590	12613	8729
591	12634	8707
592	12658	8688
593	12682	8668
594	12704	8647
595	12727	8627
596	12748	8605
597	12769	8584
598	12790	8562
599	12811	8541
600	12832	8519
601	12854	8498
602	12879	8479
603	12900	8458
604	12921	8436
605	12943	8415
606	12963	8393
607	12985	8371
608	13005	8350
609	13024	8327
610	13045	8305
611	13065	8283
612	13089	8263
613	13114	8244
614	13135	8222
615	13158	8202
616	13180	8181
617	13202	8160
618	13223	8139
619	13244	8117
620	13266	8096
621	13287	8075
622	13311	8055
623	13332	8033
624	13353	8012
625	13375	7990
626	13396	7969
627	13416	7947
628	13437	7925
629	13459	7905
630	13481	7883
631	13505	7863
632	13526	7842
633	13546	7820
634	13568	7798
635	13586	7776
636	13608	7754
637	13629	7733
638	13651	7712
639	13671	7690
640	13696	7671
641	13718	7649
642	13740	7628
643	13761	7607
644	13782	7585
645	13803	7564
646	13825	7543
647	13847	7522
648	13867	7500
649	13888	7478
650	13909	7456
651	13934	7437
652	13955	7415
653	13975	7393
654	13997	7372
655	14017	7350
656	14039	7329
657	14061	7308
658	14084	7288
659	14105	7266
660	14129	7246
661	14151	7225
662	14172	7203
663	14194	7182
664	14215	7161
665	14236	7139
666	14257	7117
667	14278	7096
668	14299	7074
669	14320	7053
670	14346	7034
671	14367	7012
672	14388	6991
673	14411	6970
674	14432	6949
675	14453	6927
676	14473	6905
677	14493	6883
678	14514	6861
679	14536	6840
680	14560	6820
681	14582	6799
682	14603	6777
683	14624	6756
684	14645	6734
685	14667	6713
686	14690	6692
687	14710	6671
688	14731	6649
689	14752	6627
690	14776	6607
691	14798	6586
692	14818	6564
693	14839	6542
694	14860	6521
695	14881	6499
696	14901	6478
697	14921	6456
698	14943	6435
699	14965	6413
700	14989	6393
701	15010	6371
702	15029	6349
703	15053	6329
704	15076	6308
705	15096	6286
706	15116	6264
707	15137	6242
708	15157	6221
709	15178	6199
710	15201	6178
711	15222	6157
712	15243	6135
713	15265	6114
714	15285	6092
715	15306	6071
716	15327	6049
717	15347	6027
718	15367	6006
719	15390	5985
720	15415	5965
721	15438	5944
722	15459	5922
723	15481	5901
724	15502	5880
725	15525	5859
726	15547	5838
727	15566	5816
728	15587	5794
729	15608	5773
730	15631	5752
731	15654	5731
732	15675	5709
733	15696	5688
734	15717	5666
735	15737	5645
736	15759	5623
737	15780	5602
738	15802	5581
739	15823	5559
740	15846	5538
741	15869	5517
742	15888	5495
743	15910	5474
744	15930	5452
745	15952	5431
746	15972	5409
747	15994	5388
748	16015	5367
749	16038	5346
750	16063	5325
751	16086	5305
752	16108	5283
753	16129	5262
754	16150	5240
755	16171	5219
756	16194	5198
757	16217	5177
758	16242	5157
759	16265	5136
760	16290	5116
761	16310	5094
762	16331	5072
763	16351	5050
764	16372	5029
765	16395	5008
766	16417	4987
767	16438	4965
768	16459	4944
769	16483	4923
770	16504	4902
771	16525	4880
772	16546	4858
773	16567	4837
774	16590	4816
775	16611	4795
776	16632	4773
777	16655	4752
778	16676	4731
779	16699	4710
780	16723	4689
781	16745	4668
782	16765	4646
783	16787	4625
784	16808	4603
785	16830	4582
786	16849	4560
787	16870	4538
788	16890	4516
789	16915	4496
790	16939	4475
791	16959	4454
792	16980	4432
793	17003	4411
794	17028	4390
795	17050	4369
796	17070	4348
797	17092	4326
798	17113	4305
799	17136	4284
800	17159	4263
801	17180	4241
802	17199	4219
803	17222	4198
804	17245	4177
805	17266	4155
806	17287	4134
807	17308	4112
808	17330	4091
809	17350	4069
810	17372	4048
811	17393	4026
812	17412	4005
813	17433	3983
814	17455	3962
815	17475	3940
816	17496	3918
817	17517	3897
818	17542	3876
819	17563	3855
820	17585	3834
821	17606	3812
822	17628	3791
823	17650	3770
824	17670	3748
825	17691	3726
826	17713	3705
827	17734	3684
828	17760	3663
829	17783	3642
830	17804	3620
831	17828	3599
832	17850	3578
833	17872	3557
834	17895	3536
835	17917	3515
836	17940	3493
837	17966	3473
838	17988	3451
839	18015	3431
840	18037	3410
841	18058	3388
842	18081	3367
843	18103	3346
844	18125	3324
845	18148	3303
846	18170	3282
847	18194	3261
848	18217	3240
849	18241	3219
850	18263	3197
851	18284	3176
852	18306	3154
853	18327	3133
854	18348	3111
855	18373	3090
856	18397	3069
857	18419	3048
858	18441	3027
859	18463	3005
860	18487	2984
861	18509	2963
862	18532	2941
863	18555	2920
864	18577	2899
865	18603	2878
866	18625	2857
867	18647	2835
868	18670	2814
869	18690	2792
870	18712	2771
871	18734	2750
872	18756	2728
873	18780	2707
874	18803	2686
875	18826	2664
876	18848	2643
877	18870	2622
878	18892	2600
879	18914	2579
880	18932	2557
881	18954	2535
882	18982	2515
883	19012	2494
884	19037	2473
885	19063	2452
886	19089	2431
887	19115	2410
888	19138	2389
889	19165	2368
890	19189	2347
891	19216	2326
892	19241	2305
893	19263	2284
894	19285	2262
895	19306	2240
896	19327	2219
897	19348	2197
898	19370	2176
899	19393	2154
900	19415	2133
901	19436	2111
902	19458	2090
903	19479	2068
904	19543	2051
905	19574	2030
906	19599	2009
907	19627	1988
908	19649	1967
909	19673	1945
910	19695	1924
911	19718	1902
912	19740	1881
913	19761	1859
914	19782	1837
915	19810	1816
916	19839	1795
917	19862	1774
918	19886	1752
919	19911	1731
920	19935	1709
921	19958	1688
922	19983	1667
923	20006	1645
924	20030	1624
925	20054	1602
926	20078	1581
927	20100	1559
928	20123	1537
929	20146	1516
930	20174	1495
931	20197	1473
932	20221	1452
933	20246	1430
934	20271	1409
935	20292	1387
936	20316	1366
937	20355	1345
938	20386	1324
939	20419	1303
940	20468	1283
941	20499	1262
942	20529	1240
943	20563	1219
944	20594	1198
945	20623	1177
946	20657	1156
947	20692	1135
948	20724	1113
949	20749	1092
950	20783	1070
951	20821	1049
952	20847	1028
953	20878	1006
954	20916	985
955	20948	964
956	20979	942
957	21012	921
958	21038	899
959	21076	878
960	21104	856
961	21138	834
962	21168	813
963	21194	791
964	21220	769
965	21243	747
966	21266	725
967	21291	703
968	21315	681
969	21338	659
970	21365	638
971	21389	616
972	21410	594
973	21431	572
974	21455	550
975	21479	528
976	21504	506
977	21530	484
978	21553	462
979	21575	440
980	21603	418
981	21629	396
982	21652	374
983	21677	352
984	21702	330
985	21725	308
986	21753	286
987	21777	264
988	21800	242
989	21821	220
990	21842	198
991	21866	176
992	21889	154
993	21913	132
994	21941	110
995	21964	88
996	21990	66
997	22015	44
998	22037	22
999	22058	0
