iter	Accuracy	Logloss
0	0.8649193548	0.6667152099
1	0.8608870968	0.645802865
2	0.8608870968	0.6264156762
3	0.8608870968	0.6084491832
4	0.8608870968	0.5918042099
5	0.8608870968	0.5703703673
6	0.8608870968	0.5534817212
7	0.8608870968	0.5370708603
8	0.8608870968	0.5240011789
9	0.8608870968	0.5098080975
10	0.8608870968	0.4959250838
11	0.8608870968	0.4838463338
12	0.8608870968	0.4716247819
13	0.8608870968	0.4613446303
14	0.8608870968	0.4541442233
15	0.8608870968	0.446113016
16	0.8608870968	0.4370088917
17	0.8608870968	0.4275003702
18	0.8608870968	0.4194291939
19	0.8608870968	0.4115387211
20	0.8608870968	0.4071718638
21	0.8608870968	0.4003470179
22	0.8608870968	0.3943576817
23	0.8608870968	0.3922472314
24	0.8608870968	0.3872401656
25	0.8608870968	0.3828916594
26	0.8608870968	0.3777044563
27	0.8608870968	0.3754672784
28	0.8649193548	0.3724378824
29	0.8649193548	0.3683795538
30	0.8649193548	0.3624544686
31	0.8649193548	0.3583525499
32	0.8649193548	0.356851508
33	0.8669354839	0.3540833551
34	0.8669354839	0.3502569207
35	0.8689516129	0.3477852979
36	0.8689516129	0.3452733053
37	0.8689516129	0.3401991924
38	0.8689516129	0.3376501225
39	0.8689516129	0.3323183539
40	0.8689516129	0.3310971819
41	0.8689516129	0.3290551249
42	0.8689516129	0.3277017539
43	0.8689516129	0.3261032474
44	0.8689516129	0.3249767952
45	0.8689516129	0.321750198
46	0.8689516129	0.3209608788
47	0.8689516129	0.3185526474
48	0.8709677419	0.3167821509
49	0.872983871	0.3139403412
50	0.875	0.3120558672
51	0.875	0.3108346141
52	0.8790322581	0.3088387041
53	0.8790322581	0.3066264094
54	0.8810483871	0.305452843
55	0.8790322581	0.3033240725
56	0.8830645161	0.3010486741
57	0.8850806452	0.2991219319
58	0.8870967742	0.2981744035
59	0.8850806452	0.2965805383
60	0.8850806452	0.2954725937
61	0.8850806452	0.2945318247
62	0.8850806452	0.2938083127
63	0.8850806452	0.2924995091
64	0.8891129032	0.2920460351
65	0.8891129032	0.2911615818
66	0.8891129032	0.288786281
67	0.8971774194	0.2869561315
68	0.8971774194	0.286086934
69	0.8951612903	0.2844399551
70	0.8931451613	0.2841235877
71	0.8951612903	0.282072069
72	0.8951612903	0.2803732845
73	0.8951612903	0.2803028983
74	0.8951612903	0.279975336
75	0.8971774194	0.2788428031
76	0.8951612903	0.2764388331
77	0.8971774194	0.27564824
78	0.8971774194	0.274281691
79	0.8951612903	0.2732243367
80	0.8971774194	0.2730617346
81	0.8971774194	0.272347192
82	0.8971774194	0.2718195865
83	0.8971774194	0.2711518902
84	0.8971774194	0.270620611
85	0.8971774194	0.2691226143
86	0.8971774194	0.2676343254
87	0.8971774194	0.267188303
88	0.8971774194	0.2668939701
89	0.8991935484	0.2655341894
90	0.9012096774	0.2647491945
91	0.9012096774	0.263720064
92	0.9012096774	0.2624301222
93	0.9012096774	0.2608043351
94	0.9012096774	0.2604245967
95	0.9012096774	0.2598978781
96	0.9032258065	0.2587440509
97	0.9032258065	0.2581608099
98	0.9052419355	0.2560235197
99	0.9032258065	0.2549183168
100	0.9032258065	0.2547159685
101	0.9052419355	0.254304465
102	0.9052419355	0.2533894364
103	0.9072580645	0.2525269927
104	0.9072580645	0.2516800216
105	0.9072580645	0.25105334
